zip,city,state,country,timezone,latitude,longitude
01266,"West Stockbridge",MA,"United States",America/New_York,42.328535,-73.36407
01267,Williamstown,MA,"United States",America/New_York,42.689962,-73.22355
01270,Windsor,MA,"United States",America/New_York,42.443726,-73.116127
01301,Greenfield,MA,"United States",America/New_York,42.605524,-72.60098
01302,Greenfield,MA,"United States",America/New_York,42.522178,-72.624164
01330,Ashfield,MA,"United States",America/New_York,42.521131,-72.81116
01331,Athol,MA,"United States",America/New_York,42.579931,-72.20836
01337,Bernardston,MA,"United States",America/New_York,42.678023,-72.55569
01338,Buckland,MA,"United States",America/New_York,42.569498,-72.802
01339,Charlemont,MA,"United States",America/New_York,42.626858,-72.87939
01340,Colrain,MA,"United States",America/New_York,42.673371,-72.73104
01341,Conway,MA,"United States",America/New_York,42.508313,-72.70403
01342,Deerfield,MA,"United States",America/New_York,42.542322,-72.6091
01343,Drury,MA,"United States",America/New_York,42.642666,-72.986231
01344,Erving,MA,"United States",America/New_York,42.607051,-72.41396
01346,Heath,MA,"United States",America/New_York,42.669255,-72.80494
01347,"Lake Pleasant",MA,"United States",America/New_York,42.556558,-72.518104
01349,"Millers Falls",MA,"United States",America/New_York,42.5737,-72.50525
01350,"Monroe Bridge",MA,"United States",America/New_York,42.712257,-72.97629
01351,Montague,MA,"United States",America/New_York,42.534976,-72.52522
01354,Gill,MA,"United States",America/New_York,42.522178,-72.624164
01355,"New Salem",MA,"United States",America/New_York,42.485899,-72.33345
01360,Northfield,MA,"United States",America/New_York,42.682285,-72.45649
01364,Orange,MA,"United States",America/New_York,42.599614,-72.29263
01366,Petersham,MA,"United States",America/New_York,42.474718,-72.21226
01367,Rowe,MA,"United States",America/New_York,42.694883,-72.90962
01368,Royalston,MA,"United States",America/New_York,42.671012,-72.16999
01370,"Shelburne Falls",MA,"United States",America/New_York,42.603447,-72.72754
01373,"South Deerfield",MA,"United States",America/New_York,42.472734,-72.62452
01375,Sunderland,MA,"United States",America/New_York,42.449978,-72.56302
01376,"Turners Falls",MA,"United States",America/New_York,42.609425,-72.54438
01378,Warwick,MA,"United States",America/New_York,42.667152,-72.32729
01379,Wendell,MA,"United States",America/New_York,42.547274,-72.41724
01380,"Wendell Depot",MA,"United States",America/New_York,42.594455,-72.36314
01420,Fitchburg,MA,"United States",America/New_York,42.578689,-71.80338
01430,Ashburnham,MA,"United States",America/New_York,42.658768,-71.93287
01431,Ashby,MA,"United States",America/New_York,42.672005,-71.8137
01432,Ayer,MA,"United States",America/New_York,42.549821,-71.59136
01436,Baldwinville,MA,"United States",America/New_York,42.608903,-72.08021
01438,"East Templeton",MA,"United States",America/New_York,42.563367,-72.03498
01440,Gardner,MA,"United States",America/New_York,42.575355,-71.99183
01441,Westminster,MA,"United States",America/New_York,42.364807,-71.896868
01450,Groton,MA,"United States",America/New_York,42.609887,-71.55722
01451,Harvard,MA,"United States",America/New_York,42.505928,-71.5888
01452,Hubbardston,MA,"United States",America/New_York,42.477515,-71.99654
01453,Leominster,MA,"United States",America/New_York,42.526523,-71.75358
01460,Littleton,MA,"United States",America/New_York,42.540052,-71.49085
01462,Lunenburg,MA,"United States",America/New_York,42.582839,-71.72051
01463,Pepperell,MA,"United States",America/New_York,42.665686,-71.5929
01464,Shirley,MA,"United States",America/New_York,42.559289,-71.64555
01467,"Still River",MA,"United States",America/New_York,42.488666,-71.62412
01468,Templeton,MA,"United States",America/New_York,42.557796,-72.06824
01469,Townsend,MA,"United States",America/New_York,42.658738,-71.69204
01470,Groton,MA,"United States",America/New_York,42.446396,-71.459405
01471,Groton,MA,"United States",America/New_York,42.446396,-71.459405
01472,"West Groton",MA,"United States",America/New_York,42.446396,-71.459405
01473,Westminster,MA,"United States",America/New_York,42.544622,-71.9021
01474,"West Townsend",MA,"United States",America/New_York,42.669408,-71.74578
01475,Winchendon,MA,"United States",America/New_York,42.675441,-72.0467
01477,"Winchendon Springs",MA,"United States",America/New_York,42.364807,-71.896868
01501,Auburn,MA,"United States",America/New_York,42.20361,-71.83843
01503,Berlin,MA,"United States",America/New_York,42.380562,-71.62665
01504,Blackstone,MA,"United States",America/New_York,42.028147,-71.52999
01505,Boylston,MA,"United States",America/New_York,42.338392,-71.73026
01506,Brookfield,MA,"United States",America/New_York,42.200374,-72.09787
01507,Charlton,MA,"United States",America/New_York,42.135142,-71.96961
01508,"Charlton City",MA,"United States",America/New_York,42.109748,-72.079455
01509,"Charlton Depot",MA,"United States",America/New_York,42.364807,-71.896868
01510,Clinton,MA,"United States",America/New_York,42.418836,-71.68482
01515,"East Brookfield",MA,"United States",America/New_York,42.212777,-72.05311
01516,Douglas,MA,"United States",America/New_York,42.061437,-71.72887
01517,"East Princeton",MA,"United States",America/New_York,42.364807,-71.896868
01518,Fiskdale,MA,"United States",America/New_York,42.12515,-72.12393
01519,Grafton,MA,"United States",America/New_York,42.201674,-71.68771
01520,Holden,MA,"United States",America/New_York,42.338962,-71.84434
01521,Holland,MA,"United States",America/New_York,42.054676,-72.16137
01522,Jefferson,MA,"United States",America/New_York,42.369658,-71.87418
01523,Lancaster,MA,"United States",America/New_York,42.473131,-71.67946
01524,Leicester,MA,"United States",America/New_York,42.238942,-71.91908
01525,Linwood,MA,"United States",America/New_York,42.364807,-71.896868
01526,Manchaug,MA,"United States",America/New_York,42.364807,-71.896868
01527,Millbury,MA,"United States",America/New_York,42.196144,-71.76272
01529,Millville,MA,"United States",America/New_York,42.036396,-71.57798
01531,"New Braintree",MA,"United States",America/New_York,42.317121,-72.12248
01532,Northborough,MA,"United States",America/New_York,42.321917,-71.64692
01534,Northbridge,MA,"United States",America/New_York,42.140741,-71.64376
01535,"North Brookfield",MA,"United States",America/New_York,42.267274,-72.07823
01536,"North Grafton",MA,"United States",America/New_York,42.231444,-71.70523
01537,"North Oxford",MA,"United States",America/New_York,42.170846,-71.88989
01538,"North Uxbridge",MA,"United States",America/New_York,42.364807,-71.896868
01540,Oxford,MA,"United States",America/New_York,42.117527,-71.8657
01541,Princeton,MA,"United States",America/New_York,42.451569,-71.882
01542,Rochdale,MA,"United States",America/New_York,42.194793,-71.90651
01543,Rutland,MA,"United States",America/New_York,42.380877,-71.96427
01545,Shrewsbury,MA,"United States",America/New_York,42.286643,-71.72502
01546,Shrewsbury,MA,"United States",America/New_York,42.364807,-71.896868
01550,Southbridge,MA,"United States",America/New_York,42.070827,-72.03533
01560,"South Grafton",MA,"United States",America/New_York,42.177462,-71.69382
01561,"South Lancaster",MA,"United States",America/New_York,42.443539,-71.686137
01562,Spencer,MA,"United States",America/New_York,42.247212,-71.99227
01564,Sterling,MA,"United States",America/New_York,42.436875,-71.77333
01566,Sturbridge,MA,"United States",America/New_York,42.104581,-72.08584
01568,Upton,MA,"United States",America/New_York,42.17382,-71.60971
01569,Uxbridge,MA,"United States",America/New_York,42.064978,-71.62992
01570,Webster,MA,"United States",America/New_York,42.047728,-71.86108
01571,Dudley,MA,"United States",America/New_York,42.049864,-71.9173
01580,Westborough,MA,"United States",America/New_York,42.364807,-71.896868
01581,Westborough,MA,"United States",America/New_York,42.269845,-71.61408
01582,Westborough,MA,"United States",America/New_York,42.364807,-71.896868
01583,"West Boylston",MA,"United States",America/New_York,42.359842,-71.787
01585,"West Brookfield",MA,"United States",America/New_York,42.242965,-72.16734
01586,"West Millbury",MA,"United States",America/New_York,42.364807,-71.896868
01588,Whitinsville,MA,"United States",America/New_York,42.114195,-71.67225
01590,Sutton,MA,"United States",America/New_York,42.131028,-71.75121
01601,Worcester,MA,"United States",America/New_York,42.265275,-71.879415
01602,Worcester,MA,"United States",America/New_York,42.272359,-71.84482
01603,Worcester,MA,"United States",America/New_York,42.240526,-71.83776
01604,Worcester,MA,"United States",America/New_York,42.255393,-71.77459
01605,Worcester,MA,"United States",America/New_York,42.286543,-71.78846
01606,Worcester,MA,"United States",America/New_York,42.311342,-71.79531
01607,Worcester,MA,"United States",America/New_York,42.229543,-71.79501
01608,Worcester,MA,"United States",America/New_York,42.261343,-71.80173
01609,Worcester,MA,"United States",America/New_York,42.271743,-71.81348
01610,Worcester,MA,"United States",America/New_York,42.248493,-71.80793
01611,"Cherry Valley",MA,"United States",America/New_York,42.238449,-71.87139
01612,Paxton,MA,"United States",America/New_York,42.307591,-71.91929
01613,Worcester,MA,"United States",America/New_York,42.293316,-71.801971
01614,Worcester,MA,"United States",America/New_York,42.364807,-71.896868
01615,Worcester,MA,"United States",America/New_York,42.364807,-71.896868
01653,Worcester,MA,"United States",America/New_York,42.364807,-71.896868
01654,Worcester,MA,"United States",America/New_York,42.364807,-71.896868
01655,Worcester,MA,"United States",America/New_York,42.364807,-71.896868
01701,Framingham,MA,"United States",America/New_York,42.318695,-71.42344
01702,Framingham,MA,"United States",America/New_York,42.283995,-71.42161
